Number,Ticker,sector,city,industry,profitMargins,priceToBook,bookValue,shortRatio,revenuePerShare,operatingMargins,forwardEps,heldPercentInstitutions,heldPercentInsiders,marketCap,profitMargins,volume,totalDebt,totalCash,beta,totalCashPerShare,enterpriseValue,floatShares,volume,numberOfAnalystOpinions,COVID BEHAVIOUR,COVID DEPENDANCY,CLASS,15/3/2020 0:00,10/4/2020 0:00,10/5/2020 0:00,10/9/2020 0:00,1/1/2021 0:00,20/2/2021 0:00,15/5/2021 0:00,10/9/2021 0:00
75,CNP,Utilities,Houston,Utilities—Regulated Electric,0.11739001,2.352833,10.855,2.6,14.28,0.16785999,1.45,0.95805,0.00251,14087378944,0.11739001,3119087,16160000000,1100999936,0.966666,1.857,32088643584,591147279,3119087,12,IIIDI,2,0,15.85399971,16.3499999,18.37599983,19.45000076,21.625,21.39400024,25.79799995,26.26249933
76,COF,Financial Services,McLean,Credit Services,0.38679,1.3685969,123.338,1.38,67.009,0.51721,16.26,0.93448997,0.00912,76211339264,0.38679,1713240,37902999552,37597999104,1.772458,84.279,80825581568,441572331,1713240,22,DIIID,9,1,68.33799896,54.78999996,73.40400085,70.35000038,101.0524979,119.5740005,159.4440002,155.7174988
77,COG,Energy,Houston,Oil & Gas E&P,0.1674,3.8541489,5.773,5.53,4.088,0.24125999,1.47,1.02559,0.02101,8887095296,0.1674,18763905,1078201984,158147008,0.142549,0.396,7270718976,391782803,18763905,22,IIDII,3,0,16.9340004,18.68249989,20.95,18.2249999,16.67750025,18.36999969,16.70999985,18.25500011
78,COO,Healthcare,San Ramon,Medical Instruments & Supplies,0.8854,3.2780068,125.256,5.13,54.171,0.20193,14.73,1.01323,0.0057,20220694528,0.8854,155876,2013200000,105900000,0.827529,2.15,22099156992,48937191,155876,12,DIIII,2,0,297.8720032,295.8300018,297.8219971,322.1875,362.090004,387.8080017,378.402002,450.3374939
79,COP,Energy,Houston,Oil & Gas E&P,0.06245,2.342714,31.98,2.43,24.7,0.09608,3.86,0.79810995,0.00093,1.01099E+11,0.06245,12310521,20010000384,10661000192,1.777838,7.961,83976044544,1337301104,12310521,28,IIIID,6,1,30.62000046,34.11999989,46.14000015,33.63749981,41.22749996,49.03999939,60.31800003,55.64249992
80,COST,Consumer Defensive,Issaquah,Discount Stores,0.02555,12.778925,35.359,3.36,442.189,0.03424,10.99,0.69317,0.00217,1.99959E+11,0.02555,1545827,10133000192,12174999552,0.649563,27.556,1.98084E+11,440574635,1545827,29,IIIDI,2,0,294.4259949,303.6825027,303.9199951,340.9874954,375.672493,354.7880005,382.7320007,464.1000061
81,COTY,Consumer Defensive,New York,Household & Personal Products,-0.04348,2.0610292,3.867,1.12,6.054,0.0346,0.19,0.33433998,0.60148996,6105872896,-0.04348,7817252,5806700032,253500000,2.510371,0.331,12957662208,303783378,7817252,11,DDIID,10,1,7.088000107,5.61500001,5.291999912,3.665000021,6.907500029,7.467999935,8.886000061,8.564999819
82,CPB,Consumer Defensive,Camden,Packaged Foods,0.09184,4.3768144,9.644,6.35,28.773,0.15647,3.06,0.54655,0.35518003,12790008832,0.09184,1578243,5436000256,209000000,0.579881,0.69,17963223040,193798396,1578243,18,DIIDD,2,0,49.59799957,47.06500053,48.67999954,45.40750027,48.42249966,46.41600037,45.70199966,42.96250057
83,CRM,Technology,San Francisco,Software—Application,0.19875,6.0349946,45.15,3.63,24.446,0.04246,4.15,0.79046,0.03612,2.5129E+11,0.19875,2683286,6282999808,15022999552,1.091304,16.224,2.15204E+11,892775120,2683286,43,IIDII,3,0,145.7160004,149.5725021,176.0740021,245.6500015,220.1274986,246.1539978,243.1939972,261.4424973
84,CSCO,Technology,San Jose,Communication Equipment,0.20919001,5.7741904,9.539,2,11.562,0.27736,3.4,0.75508004,0.00059,2.32118E+11,0.20919001,9255682,12538000384,23579000832,0.894566,5.595,2.23227E+11,4210917561,9255682,24,IIIII,3,0,36.33600006,41.25250053,46.46799927,39.89500046,44.27250004,46.04199982,53.86600037,58.51249981
85,CSX,Industrials,Jacksonville,Railroads,0.29931,1.8838909,17.363,2.34,4.939,0.4318,4.96,0.74869,0.00125,24774553600,0.29931,9858658,16801000448,2990000128,1.137008,1.328,83277651968,2248749085,9858658,24,IIIID,4,0,18.76466637,20.82833242,23.94266663,25.40916634,30.00666714,30.36200027,32.42733307,31.37500048
86,CTAS,Industrials,Cincinnati,Specialty Business Services,0.15717,11.086035,36.334,3.74,69.425,0.19748,10.23,0.65922,0.14722,42315345920,0.15717,317769,2783987968,79749000,1.459259,0.766,43906306048,88711295,317769,10,DIIDI,4,0,238.1220032,189.1350021,276.5600037,320.7850037,349.2350006,341.7299988,356.4859985,398.3824921
87,CTSH,Technology,Teaneck,Information Technology Services,0.096540004,3.6114433,20.903,2.43,32.7,0.14649999,4.39,0.92751,0.00116,39814332416,0.096540004,2129086,1728999936,1850000000,1.116931,3.52,38962409472,524503958,2129086,24,DIIDI,4,0,50.81999969,50.47999954,56.35199966,66.4375,80.29249954,74.85,70.31399994,76.40250206
88,CTXS,Technology,Fort Lauderdale,Software—Application,0.11474,48.577076,2.024,2.35,25.666,0.148,6.88,0.93984,0.00702,12208099328,0.11474,2542131,3667069952,521012000,0.062772,4.194,16509703168,123363700,2542131,12,IDDID,3,0,111.8099991,144.7900009,140.0200012,136.8574982,127.9575005,134.1840027,119.3340012,106.4899998
89,CVX,Energy,San Ramon,Oil & Gas Integrated,0.03091,1.5796092,68.403,1.64,61.111,0.05757,6.27,0.67828006,0.00035,2.08327E+11,0.03091,10586720,43017998336,7560999936,1.300218,3.91,2.26174E+11,1909602671,10586720,28,IIIID,3,0,79.47799988,82.89999962,96.82200012,78.71000099,86.48999977,95.64799957,108.5840012,96.37999916
90,D,Utilities,Richmond,Utilities—Regulated Electric,0.16607,2.4101577,30.164,2.35,17.228,0.25541002,4.12,0.68041,0.00275,58634293248,0.16607,2960001,39774998528,240000000,0.36572,0.297,1.02367E+11,806999707,2960001,16,IIDDI,2,0,76.08399963,76.84000015,85.28200073,79.05249977,74.16249847,71.70999908,77.39799957,77.52999878
91,DAL,Industrials,Atlanta,Airlines,-0.36366,57.380955,0.756,1.45,28.791,-0.45667,4.08,0.66417,0.00327,27747887104,-0.36366,7340562,36422000640,15230000128,1.413125,23.883,47669223424,635064405,7340562,19,DIIID,8,1,39.20400009,23.04749966,32.08199997,31.94750071,39.71749973,45.36600037,45.60400009,40.11250019
92,DE,Industrials,Moline,Farm & Heavy Construction Machinery,0.12825,7.093074,48.381,1.53,135.545,0.18841,20.82,0.78822,0.00133,1.07049E+11,0.12825,1168232,48349999104,7032000000,1.069868,22.679,1.50111E+11,282847382,1168232,20,IIIII,6,1,138.0540039,144.7075043,160.1359985,214.2075043,275.3324966,319.3859985,336.0300049,367.4700012
93,DFS,Financial Services,Riverwoods,Credit Services,0.44756,3.2351165,39.674,4.55,35.493,0.6005,11.71,0.87834,0.00539,39319379968,0.44756,884938,19349999616,15445999616,1.831331,51.578,42986504192,297944146,884938,18,DIIID,10,1,49.07999954,36.22249985,55.5,54.74000072,91.58250046,93.43399963,121.2360016,120.1725006
94,DG,Consumer Defensive,Goodlettsville,Discount Stores,0.0796,7.9516253,26.46,2.6,137.625,0.106809996,11.19,0.93136,0.00251,49697529856,0.0796,918091,13731520512,688054976,0.505648,2.913,69312339968,234131606,918091,23,IIIDI,3,0,149.552002,169.3224983,186.9320007,196.8674965,210.5125008,200.8980011,211.0799988,220.9424973
95,DGX,Healthcare,Secaucus,Diagnostics & Research,0.2032,2.756511,51.489,8.46,84.091,0.25981,7.98,0.9885,0.00539,17253861376,0.2032,832302,4647000064,560000000,1.033188,4.583,21306419200,121508765,832302,15,DIIDI,4,0,95.92799988,84.92749977,113.8759995,108.8200016,121.9349995,120.2440002,127.8099976,156.4575005
96,DIS,Communication Services,Burbank,Entertainment,-0.07735,3.7541955,47.078,2.27,32.201,0.02086,5.02,0.66678,0.00124,3.21124E+11,-0.07735,4132182,56146001920,15889999872,1.196195,8.746,3.72475E+11,1814987941,4132182,26,IIIII,6,1,101.2619995,101.5974998,120.2959991,133.1324997,179.1049957,186.2399994,176.1459991,184.8799973
97,DISCA,Communication Services,Silver Spring,Entertainment,0.09109,1.5690908,16.5,2.05,18.077,0.22309999,3.26,1.25046,0.02481,12177050624,0.09109,3591498,15025999872,2174000128,1.381521,3.321,34696265728,463947853,3591498,18,DIIID,9,1,22.98799973,21.05499983,23.52199974,22.96000004,31.62249994,50.5,30.30999985,26.96999979
98,DISCK,Communication Services,Silver Spring,Entertainment,0.09109,1.5127273,16.5,2.13,18.077,0.22309999,3.27,0.90616995,0.04656,13104898048,0.09109,2450010,15025999872,2174000128,1.381521,3.321,33583382528,463947853,2450010,3,DIIID,8,1,21.63800011,19.08999968,21.0920002,20.7874999,27.2750001,42.57199936,28.48400002,25.90499973
99,DISH,Communication Services,Englewood,Entertainment,0.14045,1.7180021,25.908,15.24,34.33,0.19765,2.72,0.87782997,0.14294,23488147456,0.14045,1202128,16546690048,4829289984,2.105291,9.148,35681652736,247923184,1202128,16,DIDII,3,0,22.03000031,21.68250036,34.01800003,32.59749889,31.78999996,32.90799866,40.52999954,44.33500004
100,DLR,Real Estate,Austin,REIT—Office,0.13045,2.3738081,59.255,7.95,15.55,0.18546,1.66,0.96616,0.00172,39608168448,0.13045,1066665,15473510400,120482000,0.1381,0.426,58306211840,282056500,1066665,21,IDDII,2,0,134.2939972,143.5249977,138.2579987,145.7800026,134.9674988,137.4940002,159.6320007,161.4474983
101,DLTR,Consumer Defensive,Chesapeake,Discount Stores,0.057150003,3.091671,31.973,2.73,109.15,0.088520005,6.83,0.90481,0.012970001,22928652288,0.057150003,1064760,9682599936,1473900032,0.855298,6.354,32023404544,228801619,1064760,22,IIIDD,3,0,76.75999756,77.32499886,90.93000031,90.48500061,108.7700005,107.3020004,100.6639999,91.6799984
102,DOV,Industrials,Downers Grove,Specialty Industrial Machinery,0.11842,6.492267,24.312,1.68,51.612,0.16503,7.6,0.86588997,0.00934,22717437952,0.11842,546072,3083246080,601358976,1.370087,4.177,25414862848,143146114,546072,11,DIIDI,3,0,89.67200012,87.31250191,102.2659988,110.8325005,125.3024979,121.5220001,149.8439972,174.0050011
103,DRE,Real Estate,Indianapolis,REIT—Industrial,0.33688998,3.6410925,13.842,2.42,2.876,0.28555,0.75,1.00289,0.00144,18899245056,0.33688998,973766,3613093120,9009000,0.525543,0.024,22531559424,374257799,973766,15,IIIII,2,0,29.7079998,33.17500019,35.92799988,37.55500031,38.75,41.05800018,48.92600021,52.1050005
104,DRI,Consumer Cyclical,Orlando,Restaurants,0.08745,7.853079,19.684,3.14,55.185,0.09106,7.21,0.92364997,0.00383,20225712128,0.08745,1032248,5757899776,1214700032,1.540075,9.289,22479923200,130161214,1032248,26,DIIII,7,1,65.3019989,59.81749916,78.45399933,88.61250114,118.5900002,131.2379974,136.3380035,147.9150009
105,DTE,Utilities,Detroit,Utilities—Regulated Electric,0.097720005,1.7614828,64.792,2.78,70.176,0.14581001,7.26,0.74461997,0.00609,22110062592,0.097720005,657411,23136999424,3448000000,0.633187,17.796,41769111552,192426293,657411,16,IIIII,2,0,82.17361755,86.93191528,94.53957367,100.8829784,102.5744686,102.651915,116.5480835,119.9874992
106,DUK,Utilities,Charlotte,Utilities—Regulated Electric,0.124960005,1.6805135,59.821,2.56,31.797,0.23905,5.45,0.6377,0.00106,77329383424,0.124960005,1745173,67031998464,419000000,0.280952,0.545,1.48345E+11,768114351,1745173,17,DIIDI,2,0,85.76400146,84.29249954,89.2480011,82.08749962,90.48250008,88.77799835,102.3819992,104.0874996
107,DVA,Healthcare,Denver,Medical Care Facilities,0.07467,9.713452,11.656,3.7,103.399,0.1498,9.6,0.90279996,0.02974,12023963648,0.07467,622140,12092362752,1080333056,1.274341,10.309,26332174336,101727264,622140,8,DIIDI,6,1,73.70599976,73.69499969,82.51999969,87.15250015,117.7500019,101.8920013,122.7719986,128.0500031
108,DVN,Energy,Oklahoma City,Oil & Gas E&P,0.03481,3.2210102,12.375,2.09,15.236,0.059369996,3.1,0.88883,0.00854,26981232640,0.03481,10952775,6791000064,1348000000,3.37227,1.991,26112409600,631837330,10952775,31,IIIID,10,1,8.192000008,9.147500038,13.7960001,9.25999999,16.90499997,21.04400024,28.90400009,28.45249987
109,DXC,Technology,Tysons,Information Technology Services,0.01923,1.5452092,22.23,3.88,68.27,0.01105,3.44,0.90086997,0.00939,8745303040,0.01923,711597,6317000192,2460000000,2.46834,9.766,13239590912,249566571,711597,13,IIIDD,5,1,14.45600033,14.83000016,17.13600006,19.79749966,26.25,25.83599968,40.49199982,35.30749989
110,EA,Communication Services,Redwood City,Electronic Gaming & Multimedia,0.11816,5.0708156,27.607,1.87,19.83,0.16238001,6.14,0.94042,0.00513,40264761344,0.11816,2162926,2200000000,3719000064,0.897379,13.068,37736214528,283099136,2162926,30,IIIID,3,0,96.72799835,106.357502,121.9559998,126.5699997,140.3075027,145.4459991,144.8540009,144.1900024
111,EBAY,Consumer Cyclical,San Jose,Internet Retail,1.12829,13.556721,5.536,3.88,16.67,0.26027,4.52,0.94305,0.03821,51128717312,1.12829,4672839,9349000192,17219999744,1.10262,26.49,40226627584,624755633,4672839,26,DIDII,4,0,34.02600098,32.41000032,48.66399994,52.51499939,51.75,62.45199966,66.07999878,73.54999924
112,ECL,Basic Materials,Saint Paul,Specialty Chemicals,0.086619996,9.772789,22.006,2.6,42.455,0.14812,6.15,0.86582,0.00467,61493608448,0.086619996,619001,7119399936,1402400000,1.00753,4.902,70110961664,253945323,619001,16,DIIDI,3,0,177.7360016,166.7924995,217.8660004,201.5875015,218.1649971,208.823999,212.5459991,227.5224991
113,ED,Utilities,New York,Utilities—Regulated Electric,0.09024,1.3201683,55.652,3.35,37.658,0.20120001,4.51,0.62326,0.00162,26289696768,0.09024,1788511,24892000256,76000000,0.154891,0.222,49651568640,342172197,1788511,16,DDDDD,2,0,85.46200104,83.18500137,76.28199768,72.80500031,71.04000092,69.27600098,77.04600067,75.71749878
114,EFX,Industrials,Atlanta,Consulting Services,0.15529001,9.487969,27.264,5.45,38.081,0.21636,8.38,0.92920995,0.00425,31482130432,0.15529001,285274,3881600000,458100000,1.425764,3.76,36736577536,121460800,285274,17,DIIDI,5,1,140.6899994,119.2474995,173.2299957,163.9400024,188.1600037,175.0899963,231.2779999,274.6300049
115,EIX,Utilities,Rosemead,Utilities—Regulated Electric,0.0579,1.5392904,37.121,2.99,37.14,0.21184999,4.72,0.90845,0.001,21681088512,0.0579,1320589,27174000640,84000000,0.620634,0.221,51721089024,379317500,1320589,16,IIIDI,4,0,55.09200058,56.25999928,60.22200089,51.01000023,61.68500042,55.94599991,58,58.62750053
116,EL,Consumer Defensive,New York,Household & Personal Products,0.177,20.444021,15.247,1.92,44.682,0.18785,7.14,0.91051,0.00826,1.12999E+11,0.177,588549,8098999808,4973000192,0.938318,13.765,1.21887E+11,231653767,588549,25,DIIII,4,0,167.6880005,163.5574989,197.3139984,215.9550018,259.5874977,288.7799988,301.0299988,336.8824997
117,EMN,Basic Materials,Kingsport,Chemicals,0.03426,2.300444,45.739,1.83,69.049,0.13372,9.19,0.86111,0.00562,14344011776,0.03426,912571,5731999744,610000000,1.524017,4.492,19327401984,135015547,912571,20,IIIID,7,1,45.59599991,54.82499981,73.23199768,78.96000099,101.8500004,110.9520004,121.6540009,110.0250015
118,EMR,Industrials,Saint Louis,Specialty Industrial Machinery,0.13201,6.347872,15.224,2.74,29.828,0.17643999,4.38,0.75025004,0.00717,57955004416,0.13201,3192357,7830000128,2860000000,1.536026,4.784,62191591424,590871498,3192357,20,IIIII,4,0,49.89400024,50.88999939,64.90599976,67.97249985,79.94250107,85.18799896,97.05599823,101.7349987
119,EOG,Energy,Houston,Oil & Gas E&P,0.13615,2.6022592,34.789,1.41,23.823,0.19063,5.75,0.91537005,0.00362,52837560320,0.13615,4848747,5377999872,3880000000,2.176976,6.645,42911199232,581863354,4848747,33,IIIID,8,1,35.77199974,42.71750069,56.18600082,39.93500042,52.17749977,63.16399918,84.40800018,67.33499908
120,EQIX,Real Estate,Redwood City,REIT—Specialty,0.054330003,6.35981,118.079,2.83,70.63,0.17503999,9.08,0.97370005,0.00348,67270926336,0.054330003,447290,15170368512,1799726976,0.30131,20.053,85312610304,89330176,447290,24,IIDDI,2,0,587.5460083,656.7599945,680.0660034,746.282486,691.8099976,683.1280029,814.8919922,865.6575012
121,EQR,Real Estate,Chicago,REIT—Residential,0.29532,3.0018144,27.56,3.62,6.528,0.26657,0.89,0.94045997,0.01633,30941433856,0.29532,1092557,8565070848,39492000,0.793797,0.105,40792768512,369810321,1092557,21,DIIII,3,0,71.96200027,63.86499977,64.68199997,56.17749977,58.10999966,66.87599945,79.91000061,82.80999947
122,EQT,Energy,Pittsburgh,Oil & Gas E&P,-0.42044997,0.6313689,33.071,4.33,13.22,-0.42568,0.82,0.74114996,0.00418,5827837440,-0.42044997,6651551,5496317952,330769984,1.270037,0.875,12214872064,376383104,6651551,21,IIDID,7,1,7.819999886,10.54250002,15.5539999,14.34249997,13.77999997,18.27999992,21.80800018,20.01499987
123,ES,Utilities,Springfield,Utilities—Regulated Electric,0.1311,2.0608532,41.444,3.19,27.736,0.22333,4.09,0.80403,0.00358,29335431168,0.1311,824762,19172237312,217396992,0.324781,0.633,48426614784,342560779,824762,16,DIIDI,2,0,85.45200043,83.82999802,85.58999939,84.13750076,86.31750107,81.77799988,82.75800018,89.94000053
124,ESS,Real Estate,San Mateo,REIT—Residential,0.26903,3.5234149,92.697,2.88,22.998,0.29860002,4.29,0.98010004,0.01113,21229289472,0.26903,103587,6202510848,48155000,0.750403,0.74,27101825024,64546400,103587,19,DIIII,3,0,266.7620026,227.0800018,260.0619995,217.3200035,232.3899994,265.526001,311.6499939,327.3649979
125,ETN,Industrials,Dublin,Specialty Industrial Machinery,0.09859,4.080895,37.629,2.21,47.908,0.12630999,6.9,0.83063006,0.00197,61193658368,0.09859,1154280,12536999936,540000000,1.146853,1.355,79147294720,396838188,1154280,19,DIIII,4,0,82.04599915,78.78500175,90.84199982,101.6399994,121.3374996,126.7740021,145.8940002,162.2449989
126,ETR,Utilities,New Orleans,Utilities—Regulated Electric,0.113129996,1.8791887,54.912,2.52,54.583,0.17695,6.3,0.8832,0.00303,20703318016,0.113129996,942793,25363535872,686881024,0.557314,3.418,45175226368,200196958,942793,17,DIIDI,2,0,104.4440002,97.52000046,100.9219986,96.90499878,98.19499969,92.62600098,108.4240021,113.0275002
127,EW,Healthcare,Irvine,Medical Devices,0.29692,14.512814,7.492,2.57,7.909,0.31375,2.52,0.86358,0.00739,67590590464,0.29692,1962397,684200000,1561200000,1.074233,2.505,71672127488,617904891,1962397,22,IIIDI,2,0,62.56600037,67.72000122,72.24599915,82.85499954,88.94750023,84.98799896,100.4719986,121.9274998
128,EXC,Utilities,Chicago,Utilities—Diversified,0.03195,1.47575,32.763,2.93,35.005,0.104940005,3.03,0.81211996,0.00273,47246409728,0.03195,3331380,42047000576,1908000000,0.436887,1.953,88735563776,974663895,3331380,16,IIIII,3,0,37.01400032,37.21250057,39.6659996,36.18999958,41.73750019,41.7659996,46.66600037,50.00249958
129,EXPD,Industrials,Seattle,Integrated Freight & Logistics,0.0744,6.7110977,17.03,2.29,68.697,0.100839995,5.16,0.96911,0.00632,19301980160,0.0744,941962,445414016,1793393024,0.785326,10.619,19788558336,167875875,941962,14,IIIID,2,0,64.64400024,70.96000099,76.22400055,88.74500084,93.38499832,93.74400024,124.4220001,123.9649982
130,EXPE,Consumer Cyclical,Seattle,Travel Services,-0.44594002,16.16394,10.516,7.14,29.726,-0.35741,5.9,0.99367,0.04745,24975669248,-0.44594002,1267738,8903000064,4313999872,1.770652,29.353,31150559232,140672917,1267738,26,DIIID,8,1,70.39399948,58.07749939,86.06199951,97.61999893,136.0824966,155.6279968,169.1920013,146.3225021
131,EXR,Real Estate,Salt Lake City,REIT—Industrial,0.43714002,7.8271413,21.856,3.06,11.168,0.51008,4.5,1.00165,0.02138,22876850176,0.43714002,336286,5678843904,56006000,0.215065,0.419,29031903232,131614220,336286,14,IIIII,2,0,97.29600067,99.61250114,99.8,109.9799995,110.9349995,118.7339996,160.0519989,189.3724976
132,F,Consumer Cyclical,Dearborn,Auto Manufacturers,0.02507,1.7840707,8.475,1.26,34.267,0.03334,1.76,0.55259997,0.00229,60353597440,0.02507,99468887,1.48226E+11,25042999296,1.142549,6.269,1.78511E+11,3913470937,99468887,20,DIIID,7,1,5.630000114,4.910000086,6.834000015,6.977499962,8.700000048,11.54599991,14.98800011,12.85500002
133,FAST,Industrials,Winona,Industrial Distribution,0.15237,10.867863,4.851,5.39,9.919,0.20211,1.71,0.79684997,0.00343,30285688832,0.15237,5116779,667400000,321800000,1.259279,0.56,32444794880,572555383,5116779,10,DIIDI,3,0,32.64199982,32.57499981,41.78600082,44.23249912,48.46500015,46.8840004,51.61999969,53.72000027
134,FB,Communication Services,Menlo Park,Internet Content & Information,0.37175998,7.015474,47.046,2.07,36.82,0.42523,15.2,0.80614996,0.00602,9.35844E+11,0.37175998,15685934,12563000320,64079998976,1.295305,22.728,1.00933E+12,2372224214,15685934,48,IIDDI,2,0,163.8380005,170.9625015,231.9619965,269.8949966,269.0950012,267.7640015,334.473999,379.1100006
135,FBHS,Consumer Cyclical,Deerfield,"Furnishings, Fixtures & Appliances",0.10304,4.552142,20.799,3.07,50.623,0.14861,6.11,0.90783995,0.00459,13106363392,0.10304,515903,2766700032,460000000,1.63155,3.336,15489303552,137324652,515903,13,DIIID,3,0,50.29000015,45.5975008,61.28400116,82.12750053,85.32500267,86.41200104,97.98800049,95.85749817
136,FCX,Basic Materials,Phoenix,Copper,0.14981,4.5756803,7.459,1.41,12.984,0.31224,3.58,0.78510004,0.00569,50018541568,0.14981,17625283,9694999552,6429000192,2.079148,4.379,60709527552,1462265529,17625283,17,IIIID,10,1,7.611999989,7.749999881,10.87800007,15.97500014,27.92250013,35.35200119,38.02799988,35.25500011
137,FDX,Industrials,Memphis,Integrated Freight & Logistics,0.0623,2.6972477,82.84,1.96,318.027,0.09476,20.37,0.75261,0.07576,59288018944,0.0623,2365001,36461998080,7087000064,1.237224,26.508,1.00998E+11,246933521,2365001,29,IIIID,3,0,105.1599991,120.6999989,139.2,226.0074997,254.8874969,257.1719971,294.1259949,260.3574982
138,FE,Utilities,Akron,Utilities—Regulated Electric,0.12613,2.6766186,13.532,6.24,19.583,0.22543,2.6,0.83562,0.00198,19700060160,0.12613,1701485,24192999424,1280999936,0.22826,2.355,43009122304,542159951,1701485,14,IDIID,2,0,40.42800064,42.45250034,42.00999985,29.16249943,30.06500006,33.20800018,38.46000061,38.36749935
139,FFIV,Technology,Seattle,Software—Infrastructure,0.11283,6.004785,33.435,5.4,40.418,0.16519,11.62,1.02919,0.00413,12027990016,0.11283,140020,747547008,643270976,1.05163,10.79,11231990784,59310850,140020,16,IIIII,8,1,105.0740005,118.9350014,142.8100006,121.3675003,176.9050026,200.623999,189.9779999,202.7250023
140,FIS,Technology,Jacksonville,Information Technology Services,0.00689,1.5095075,79.516,1.28,21.293,0.14039999,7.36,0.9206,0.0031,74673061888,0.00689,1641450,19416999936,1300999936,0.816593,2.106,95576104960,615695567,1641450,30,DIDDD,2,0,126.1139984,123.2624989,139.2940002,146.0724983,139.0100021,133.376001,145.6839966,126.6375008
141,FISV,Technology,Brookfield,Information Technology Services,0.07372,2.2580106,47.781,2.88,23.086,0.15223,6.42,0.92669,0.00501,71937712128,0.07372,2362799,20842999808,841000000,0.886462,1.27,94288199680,597037149,2362799,32,DIIDI,3,0,98.79399872,97.01750183,104.2259979,94.86750031,113.0799999,111.8080002,109.2580002,114.4225006
142,FITB,Financial Services,Cincinnati,Banks—Regional,0.31978,1.5271553,28.779,1.45,11.339,0.41507998,3.23,0.83379996,0.00417,30857558016,0.31978,2764251,13831999488,3996000000,1.576169,5.678,37563060224,700516871,2764251,18,DIIID,7,1,16.84799976,16.46000004,22.36199989,20.94999981,28.16750002,33.92800064,39.75,38.60999966
143,FL,Consumer Cyclical,New York,Footwear & Accessories,0.074489996,1.6720871,28.288,3.23,81.873,0.09021,5.91,0.94613,0.01344,4897631232,0.074489996,1279088,3160999936,1963000064,1.353645,18.958,7108134912,89630070,1279088,19,DIIID,6,1,24.4579998,23.20499992,32.10999908,33.43000031,40.86749935,52.01600037,60.78800049,53.08250046
144,FLR,Industrials,Irving,Engineering & Construction,-0.017180001,2.3433907,6.96,3,105.987,0.00956,1.21,0.77512,0.022769999,2305255424,-0.017180001,1545849,1683200000,1956498048,2.955434,13.843,2468214016,131628103,1545849,7,IIIID,10,1,6.826000023,7.105000138,13.31599998,8.934999943,16.6400001,17.61199989,18.33799973,16.01999974
145,FLS,Industrials,Irving,Specialty Industrial Machinery,0.03204,2.69503,13.139,2.64,28.331,0.10813,1.92,0.96346,0.00318,4614454272,0.03204,650158,1520539008,659305024,1.782916,5.059,6524514304,129855191,650158,11,IIIID,5,1,26.65599976,27.19750023,30.12000008,28.23749971,36.38500023,38.98600006,42.15800018,36.60999966
146,FMC,Basic Materials,Philadelphia,Agricultural Inputs,0.11507,3.8153782,23.345,1.75,35.374,0.22543,8.1,0.89494,0.00579,11479074816,0.11507,892586,3775800064,424600000,0.986942,3.295,17064459264,128171622,892586,19,IIIDD,3,0,81.34800262,82.58500099,100.7759979,107.4675007,116.0375004,106.1080002,118.4080002,97.05500031
147,FOX,Communication Services,New York,Broadcasting,0.16233999,2.0557601,19.01,1.36,20.798,0.22353001,2.35,0.57074,0.40935,23354521600,0.16233999,989904,8453000192,5765000192,1.271301,9.936,23629412352,470246663,989904,1,DIIID,2,0,26.08199997,25.21999979,29.46200027,28.10500002,29.44124937,31.62599945,35.90199966,33.57749939
148,FOXA,Communication Services,New York,Broadcasting,0.16233999,2.2225144,19.01,3.13,20.798,0.22353001,2.74,1.0042,0.01679,23973031936,0.16233999,2282616,8453000192,5765000192,1.271301,9.936,24731805696,470246663,2282616,23,DIIID,3,0,26.65400009,25.70999956,29.95599976,28.05500031,29.84624958,32.82499924,37.62799988,36.25249958
149,FRT,Real Estate,North Bethesda,REIT—Retail,0.18422002,4.042624,30.03,6.12,11.429,0.30491,1.69,0.99106,0.01008,9433568256,0.18422002,226673,4321503232,304268000,1.170521,3.913,13859108864,76945353,226673,17,DIIID,5,1,105.4619995,78.58500099,94.65200043,78.70999908,84.00499916,100.9679993,122.3340012,120.4549999
150,FTI,Energy,London,Oil & Gas Equipment & Services,0.01202,1.0019696,8.124,1.85,29.222,0.058709998,0.19,0.91094,0.01018,3668437760,0.01202,5774235,3321299968,1655399936,2.342171,3.673,4899759616,423266342,5774235,20,IIIDD,7,1,5.516368961,6.110491276,6.468750095,5.221354127,7.533482194,7.482000065,9.773999977,6.450000048
151,FTV,Technology,Everett,Scientific & Technical Instruments,0.34215,2.658751,26.614,3.26,14.966,0.16291,2.85,0.92517,0.026129998,23954102272,0.34215,1228181,2766299904,1565799936,1.215065,4.369,27977000960,348907880,1228181,15,IIIDI,2,0,48.4,49.66108799,55.78577423,63.41631699,69.79999924,67.67400055,70.75,74.75499916
152,GD,Industrials,Reston,Aerospace & Defense,0.08217,3.6909478,54.761,2.19,134.935,0.10979,12.28,0.87632006,0.05975,57859878912,0.08217,723110,14490000384,1811000064,1.125136,6.419,67422318592,246157335,723110,18,DIIII,2,0,140.4639984,136.6224976,157.4119995,145.2675018,147.6275024,164.4480011,190.5079987,203.0499992
